"Path","Bytes","SHA256","Extension","Category","GearCandidate","HashError"
".gitignore","262","4B5194A307C9B46DF006F518B948CCB3CD925B4691F276A7AF068D6B582F1297",".gitignore","source_or_other","True",
"assets/terminal.png","71075","4B0932999557B369E1C78EA394C7680E517182AFDEA80F2088C186C240296060",".png","binary_or_asset","False",
"assets/terminal.svg","3590","8676DCA7C43BCB6ECF22AFBB8ED5A00E0E09D980B4E87B747E170B692632DA8B",".svg","binary_or_asset","False",
"bin/install.js","7080","7AB650A4B8506667F3C2796E6FD7256215D0FDEC1120E4E3728FEEE4763F1288",".js","executable_source","True",
"IDEATION.md","3082","E4F286640DA97867D75FAED1EFD8C6D998A268D795803AE5AA02927F9E41F0AD",".md","documentation","True",
"LICENSE","1090","E65AD792EA8ED4C3985E155EE5E91EFD6F71732CC1AA077EFAA5F0B018C9CE52","","source_or_other","True",
"package.json","868","1C098FDF343D2CEF052400EF831E94D1F29AB0B46413F7C8FC2022239AC8B466",".json","configuration_or_data","True",
"PAUL-VS-GSD.md","7074","9E46DA084DF85D4324C9B1D9D79EC239D11910F0E9A0553B83B9FEF82DA84B1D",".md","documentation","True",
"README.md","19707","16011BE09210BBE635A50B4A5D27264DE64AF0AA40147BCCA40835A698B8E507",".md","documentation","True",
"src/carl/PAUL","1982","9DF322C2CD2E4BA3FA61CF1213D36FBFF658AF9B99781F7BC29A3F57F78085D7","","source_or_other","True",
"src/carl/PAUL.manifest","679","4D0777BAC173664C780B03095113DAC9CCB10A15C31341867936E11F05621B4D",".manifest","source_or_other","True",
"src/commands/add-phase.md","794","4F8B7BC209FB43E35EEF2DAAFE55A9D6FE04B52964D2A4ADF3C3FFA4BD16DB46",".md","orchestration_asset","True",
"src/commands/apply.md","2067","16E1405B23B15BAEDA4D3BD9BD741932FD518D8C1009C29426298936E42FA6F4",".md","orchestration_asset","True",
"src/commands/assumptions.md","1002","7450E567510C37EE0B678F6C856F5336132720B0E995EFAC0E0F414E9DF8AA85",".md","orchestration_asset","True",
